Viewer_ID,Live_ID,Streamer_ID,Viewer_Age,Viewer_Gender,Viewer_Country,Viewer_Device_Brand,Viewer_Device_Price,Account_Age_Days,Accumulated_Watch_Count,Accumulated_Watch_Duration,Is_Live_Streamer,Is_Photo_Author,Watch_Time,Click_Count,Comment_Count,Like_Count,Gift_Count,Gift_Value,Has_Comment,Has_Like,Has_Gift,Interaction_Count,Like_Rate,Comment_Rate,Gift_Rate,Engagement_Score,Engagement_Level,Streamer_Gender,Streamer_Age,Log_Watch_Time,Log_Click_Count,Log_Comment_Count,Log_Like_Count,Log_Gift_Count,Log_Gift_Value,Z_Watch_Time,Z_Click_Count,Z_Comment_Count,Z_Like_Count,Z_Gift_Count,Z_Gift_Value,Watch_Time_Level,Like_Behavior,Comment_Behavior,Gift_Behavior,Gift_Value_Level
67,4277579,329233,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,7020,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.5427,Medium,F,18-23,8.85666093701725,0.6931471805599453,0.0,0.0,0.0,0.0,-0.05971263438385827,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,4547263,14408,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,2767,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.1704,Medium,F,31-40,7.92588031673756,0.6931471805599453,0.0,0.0,0.0,0.0,-0.5501954771219871,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,4582684,195758,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,28509,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.1032,High,F,31-40,10.258010181906718,0.6931471805599453,0.0,0.0,0.0,0.0,0.6787403870120742,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
67,4834573,345232,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,11193,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.7293,Medium,F,31-40,9.323133199451306,0.6931471805599453,0.0,0.0,0.0,0.0,0.1860989310400023,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,4898886,264264,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,869,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.7074,Low,F,31-40,6.76849321164863,0.6931471805599453,0.0,0.0,0.0,0.0,-1.1600905534525308,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,5232929,340099,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,3405,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.2533,Medium,F,18-23,8.133293861222633,0.6931471805599453,0.0,0.0,0.0,0.0,-0.4408971282899494,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,5365519,179781,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,2275,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0921,Medium,F,31-40,7.730174795246222,0.6931471805599453,0.0,0.0,0.0,0.0,-0.6533241826721473,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,5392967,149941,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1123,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.8099,Low,F,41-49,7.024649030453636,0.6931471805599453,0.0,0.0,0.0,0.0,-1.0251070444988966,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,6261595,432668,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1919,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.024,Low,M,24-30,7.560080465021827,0.6931471805599453,0.0,0.0,0.0,0.0,-0.7429568509984706,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,6396541,234806,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,2664,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.1552,Medium,F,41-49,7.887959336599945,0.6931471805599453,0.0,0.0,0.0,0.0,-0.5701782633253835,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Medium,No_Like,No_Comment,No_Gift,No_Gift
67,6690849,301584,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,81673,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.5242,High,M,31-40,11.31049099274571,1.0986122886681098,0.0,0.0,0.0,0.0,1.2333541905015795,2.001678333500287,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
67,6951917,331198,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1638,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.9607,Low,F,50+,7.40184157874383,0.6931471805599453,0.0,0.0,0.0,0.0,-0.8263421913056482,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,7444592,150550,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,12587,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.7762,High,F,41-49,9.440499258184298,0.6931471805599453,0.0,0.0,0.0,0.0,0.24794598379775126,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
67,7847631,188854,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1127,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.8113,Low,F,31-40,7.028201432058005,0.6931471805599453,0.0,0.0,0.0,0.0,-1.023235075960344,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,9065507,301527,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1193,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.834,Low,F,31-40,7.085064293952548,0.6931471805599453,0.0,0.0,0.0,0.0,-0.9932707024650295,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,9239984,318312,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1717,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.9796,Low,F,41-49,7.4489161025442,0.6931471805599453,0.0,0.0,0.0,0.0,-0.801535866645374,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,9466274,338465,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,2138,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0672,Low,M,31-40,7.668093709082406,0.6931471805599453,0.0,0.0,0.0,0.0,-0.686038344267765,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
67,9743065,119991,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,14818,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.8415,High,F,41-49,9.603665420190179,0.6931471805599453,0.0,0.0,0.0,0.0,0.33392779437226283,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
67,9754740,264332,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,25508,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0587,High,F,24-30,10.146786610053903,1.0986122886681098,0.0,0.0,0.0,0.0,0.6201301704763406,2.001678333500287,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Long,No_Like,No_Comment,No_Gift,No_Gift
67,9837898,443031,41-49,M,China,OPPO,2000-4000,1842,100000-500000,1000000000-5000000000,1,1,1401,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.8983,Low,F,31-40,7.2456550675945355,0.6931471805599453,0.0,0.0,0.0,0.0,-0.9086460149100083,-0.32613393012780506,-0.19115831293500873,-0.19803106766678616,-0.11966752387194891,-0.09505241341447639,Short,No_Like,No_Comment,No_Gift,No_Gift
